event_cause,officer_score,officers,barricades,diversions
Debris,4.0,4.0,2.0,0.0
Fog / Low Visibility,4.0,4.0,2.0,0.0
accident,8.0,8.0,4.0,1.0
congestion,9.0,9.0,4.0,1.0
construction,10.0,10.0,5.0,2.0
debris,10.0,10.0,5.0,2.0
others,4.0,4.0,2.0,0.0
pot_holes,4.0,4.0,2.0,0.0
procession,13.0,13.0,6.0,2.0
protest,14.0,14.0,7.0,2.0
public_event,11.0,11.0,5.0,2.0
road_conditions,6.0,6.0,3.0,1.0
test_demo,3.0,3.0,1.0,0.0
tree_fall,7.0,7.0,3.0,1.0
vehicle_breakdown,4.0,4.0,2.0,0.0
vip_movement,18.0,18.0,9.0,3.0
water_logging,4.0,4.0,2.0,0.0
